G,Date,Tip-Off,Home/Away,Road,Opponent,OppID,WizResult,Result,Overtime,OppResult,WizPts,OppPts,Wins,Losses,Streak,JW_Active
53,Mon Feb 5 2018,7:00p ET,A,@,Indiana Pacers,IND,W,1,,L,111,102,31,22,W 5,N
54,Tue Feb 6 2018,8:00p ET,A,@,Philadelphia 76ers,PHI,L,0,,W,102,115,31,23,L 1,N
55,Thu Feb 8 2018,8:00p ET,H,,Boston Celtics,BOS,L,0,OT,W,104,110,31,24,L 2,N
56,Sat Feb 10 2018,8:00p ET,A,@,Chicago Bulls,CHI,W,1,,L,101,90,32,24,W 1,N
57,Wed Feb 14 2018,7:30p ET,A,@,New York Knicks,NYK,W,1,,L,118,113,33,24,W 2,N
58,Thu Feb 22 2018,8:00p ET,A,@,Cleveland Cavaliers,CLE,W,1,,L,110,103,34,24,W 3,N
59,Fri Feb 23 2018,7:00p ET,H,,Charlotte Hornets,CHA,L,0,,W,105,122,34,25,L 1,N
60,Sun Feb 25 2018,8:00p ET,H,,Philadelphia 76ers,PHI,W,1,,L,109,94,35,25,W 1,N
61,Tue Feb 27 2018,8:00p ET,A,@,Milwaukee Bucks,MIL,W,1,,L,107,104,36,25,W 2,N
62,Wed Feb 28 2018,8:00p ET,H,,Golden State Warriors,GSW,L,0,,W,101,109,36,26,L 1,N
63,Fri Mar 2 2018,8:00p ET,H,,Toronto Raptors,TOR,L,0,,W,95,102,36,27,L 2,N
64,Sun Mar 4 2018,6:00p ET,H,,Indiana Pacers,IND,L,0,,W,95,98,36,28,L 3,N
65,Tue Mar 6 2018,7:00p ET,H,,Miami Heat,MIA,W,1,OT,L,117,113,37,28,W 1,N
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
